ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
90044,746,1,0,0,0,26,94,146,0,53,26.5,108,139.5,0,56.5,26.5,94830,0.00787,0.000274175,0.000011,,
90045,41,5,1,1,0,19,164,176,187,76,0,154.5,170.5,0,86,0,41786,0.00098,0.000454698,0.000120,,
90046,361,3,0,0,0,10,204,221.5,262,95,0,189,200,221,95,37,48296,0.00747,0.000207056,0.000062,,
90047,278,2,0,0,0,25,142,165,0,74,0,135,147,0,81,0,50974,0.00545,0.000490446,0.000039,,
90049,0,2,0,0,0,13,251,276,350,65,0,181.5,249,273,62,0,37122,0.00000,0.000350197,0.000054,,
90056,181,1,0,0,0,1,192,199,0,120,0,186.5,199,0,109,0,8543,0.02119,0.000117055,0.000117,,
90057,1,2,1,1,0,9,97.5,131,0,48.5,14.5,84.5,182,0,48,14.5,46629,0.00002,0.000193013,0.000043,,
90058,10,4,1,1,1,2,182.5,198,0,56.5,0,203,209,0,81,0,3585,0.00279,0.00055788,0.001116,,
90059,367,1,0,0,0,17,81,122,0,79,17,80,123,0,76.5,17,37511,0.00978,0.0004532,0.000027,,
90061,180,2,1,1,0,12,196,241,0,67,0,176,237,0,75,0,30051,0.00599,0.000399321,0.000067,,
90062,0,2,1,1,1,7,110,146,0,35,0,126,152.5,0,45,0,32715,0.00000,0.000213969,0.000061,,
90063,303,3,0,0,1,21,147,157.5,0,60,0,137,150,0,83,0,48397,0.00626,0.000433911,0.000062,,
90064,0,3,0,0,0,14,140,206.5,0,79,30,145,200,0,84,30,26642,0.00000,0.000525486,0.000113,,
