ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita
90045,41786,5,1,1,0,19,0.00098,0.000454698,0.00012,0.7331818459610502,-0.08238524175974073,0.5400628039040372,19339.0,2945.0,15594.0,12904.0,0.46281051069736273,0.0704781505767482,0.37318719188244864
90046,48296,3,0,0,0,10,0.00747,0.000207056,6.2e-05,-0.6301198793958228,-0.05215897260373867,-0.6484649826260268,9923.0,2403.0,6928.0,6052.0,0.20546215007454033,0.04975567334768925,0.14344873281431175
90047,50974,2,0,0,0,25,0.00545,0.000490446,3.9e-05,0.059449589925568556,-0.061566840661539,0.7116310003847498,11180.0,4300.0,6234.0,6713.0,0.21932750029426767,0.08435673088241064,0.12229764193510417
90049,37122,2,0,0,0,13,0.0,0.000350197,5.4e-05,-0.49220598553154454,-0.08694945497590129,0.03852291075110584,5471.0,716.0,4461.0,3364.0,0.14737891277409623,0.019287753892570442,0.12017132697591724
90056,8543,1,0,0,0,1,0.02119,0.000117055,0.000117,-1.0438615609886577,0.011740012422509136,-1.0804138819060047,101.0,25.0,68.0,54.0,0.011822544773498771,0.0029263724686878147,0.007959733114830855
90057,46629,2,1,1,0,9,2e-05,0.000193013,4.3e-05,0.27346886641345597,-0.08685630776740821,-0.7158626603472603,13166.0,5597.0,6937.0,7002.0,0.282356473439276,0.1200325977396041,0.14877007870638445
90058,3585,4,1,1,1,2,0.00279,0.00055788,0.001116,-0.048330219269859954,-0.07395541939111766,1.0352723163039732,2128.0,708.0,1336.0,1340.0,0.5935843793584379,0.19748953974895397,0.3726638772663877
90059,37511,1,0,0,0,17,0.00978,0.0004532,2.7e-05,-0.3083207937125068,-0.04140047002278878,0.5328733343301278,7982.0,3505.0,4048.0,3927.0,0.21279091466503158,0.0934392578177068,0.10791501159659833
90061,30051,2,1,1,0,12,0.00599,0.000399321,6.7e-05,0.41138276027773424,-0.05905186603222605,0.2742875992348964,8062.0,3402.0,4281.0,4530.0,0.2682772619879538,0.11320754716981132,0.14245782170310473
90062,32715,2,1,1,1,7,0.0,0.000213969,6.1e-05,0.1815262705039372,-0.08694945497590129,-0.6152868763747353,9405.0,3901.0,4885.0,5185.0,0.2874828060522696,0.11924193794895308,0.14931988384533088
90063,48397,3,0,0,1,21,0.00626,0.000433911,6.2e-05,-0.12443560189346914,-0.05779437871756956,0.44029811496354854,2244.0,599.0,1507.0,1316.0,0.046366510320887656,0.012376800214889353,0.031138293695890242
90064,26642,3,0,0,0,14,0.0,0.000525486,0.000113,-0.4462346875767851,-0.08694945497590129,0.8798012366129079,7394.0,1325.0,5760.0,4726.0,0.2775317168380752,0.04973350349072892,0.21619998498611215
90065,44658,3,1,1,0,18,0.0,0.000403063,6.7e-05,0.6872105480062908,-0.08694945497590129,0.2922468750330061,8003.0,2157.0,5297.0,4708.0,0.17920641318464778,0.04830041649872363,0.11861256661740338
90066,56740,4,2,2,1,21,0.00014,0.000370109,7e-05,1.7746844856346076,-0.08629742451644977,0.13408814316477796,8172.0,1366.0,6389.0,5459.0,0.14402537892139583,0.024074726824109976,0.11260133944307367
90068,21572,1,0,0,0,2,5e-05,9.27128e-05,4.6e-05,-0.9978902630338982,-0.08671658695466859,-1.1972413226683638,6388.0,1174.0,4843.0,4104.0,0.2961246059707028,0.05442239940663823,0.22450398664936028
90069,20961,2,1,1,0,2,0.04465,9.54153e-05,9.5e-05,-0.048330219269859954,0.12100168798488331,-1.1842710012241116,1590.0,324.0,1175.0,1021.0,0.07585515958208101,0.015457277801631602,0.05605648585468251
